title,categories,difficulty,hints,series,youtube
13 Sentinels: Aegis Rim ~ Brat Overflow,Screen,Lunatic,,13 Sentinels,https://www.youtube.com/watch?v=8iWxf5IruMQ
13 Sentinels: Aegis Rim ~ EDGE OF THE FUTURE,"Battle, Final Boss",Merciless,,13 Sentinels,https://www.youtube.com/watch?v=qWuuA0lSTRA
13 Sentinels: Aegis Rim ~ Halcyon Days,Locale,Tough,,13 Sentinels,https://www.youtube.com/watch?v=Tojb3J6-u-I
2064: ROM ~ Step Careful (Lexi's Theme),Character,Lunatic,,"Indie, Read Only Memories",https://youtu.be/Tll6wL9MtLU
2064: ROM ~ Turing's Theme,Character,Lunatic,,"Indie, Read Only Memories",https://youtu.be/a6Frw9NeTD8
999 ~ Binary Game,Locale,Tough,In the cabins,"Spike Chunsoft, 999",https://youtu.be/SiQZiqtlGAU
999 ~ Chill and Rigor,Other,Normal,A bad ending...,"Spike Chunsoft, 999",https://youtu.be/q1MTFmXwPKM
999 ~ Septenary Game,Locale,Tough,With Seven,"Spike Chunsoft, 999",https://youtu.be/hzQ3jse4ars
A Hat in Time ~ Beta File Select,Screen,Merciless,An unused theme,"Indie, A Hat in Time",https://www.youtube.com/watch?v=xNiFSx6K--U
A Hat in Time ~ Clocktowers Beneath the Sea,Locale,Normal,,"Indie, A Hat in Time",https://youtu.be/drT1uOViuz4
A Hat in Time ~ Oh It's You,Other,Normal,,"Indie, A Hat in Time",https://youtu.be/Wxoap9xp2_k
A Hat in Time ~ Rush Hour,Other,Tough,,"Indie, A Hat in Time",https://www.youtube.com/watch?v=OXBcBugpHZg
A Hat in Time ~ Scootin' through Clocktowers Beneath the Sea,"Locale, Object",Tough,Gotta go fast version,"Indie, A Hat in Time",https://youtu.be/CbmjqyB41vI?si=pwWDmOfW3IVSm5aE
A Hat in Time ~ Subcon Forest,"Locale, Nature, Forest, Spooky",Tough,,"Indie, A Hat in Time",https://youtu.be/tLi2zO9Du2c
A Hat in Time ~ The Battle of Award 42,"Battle, Boss, Character",Tough,,"Indie, A Hat in Time",https://youtu.be/fPhIls8a3cM
A Hat in Time ~ Title Screen,"Screen, Other",Normal,,"Indie, A Hat in Time",https://youtu.be/hQrYhnR-qu8
A Hat in Time ~ You Are All Bad Guys,"Battle, Adversary, Final Boss",Tough,Are we the baddies?,"Indie, A Hat in Time",https://youtu.be/eaiK4eLaizI
A Hat in Time ~ You Are Now Legally a Bird,Other,Lunatic,,"Indie, A Hat in Time",https://youtu.be/qjQbkKP32l4
A Hat in Time ~ Your Contract Has Expired,"Battle, Boss, Character",Easy,,"Indie, A Hat in Time",https://youtu.be/BePP156LQgY
A Link Between Worlds ~ Ice Ruins,"Dungeon, Snowy",Tough,,"Nintendo, The Legend of Zelda",https://www.youtube.com/watch?v=Xnge6Xy4nio
A Short Hike ~ Nap Time,Credits,Tough,,"Indie, Other",https://youtu.be/Hv-2uR62xmA
"A Short Hike ~ Snow, Lots of Snow","Locale, Nature, Snowy",Lunatic,Almost to the peak,"Indie, Other",https://youtu.be/9tk9mEqnOiM
A Short Hike ~ Somewhere In The Woods,"Locale, Nature, Forest",Tough,,"Indie, Other",https://youtu.be/zvb8hTgVyyI
